"filename", "language", "Properties", "XML", "Batch", "Java", "HTML", "comment", "blank", "total"
"d:\Support\support\.mvn\wrapper\maven-wrapper.properties", "Properties", 2, 0, 0, 0, 0, 0, 1, 3
"d:\Support\support\mvnw.cmd", "Batch", 0, 0, 102, 0, 0, 51, 36, 189
"d:\Support\support\pom.xml", "XML", 0, 84, 0, 0, 0, 0, 4, 88
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 0, 0, 76, 0, 1, 18, 95
"d:\Support\support\src\main\java\com\support\Entitis\Admin.java", "Java", 0, 0, 0, 10, 0, 0, 7, 17
"d:\Support\support\src\main\java\com\support\Entitis\Breakdown.java", "Java", 0, 0, 0, 17, 0, 0, 4, 21
"d:\Support\support\src\main\java\com\support\Entitis\Machine.java", "Java", 0, 0, 0, 23, 0, 0, 5, 28
"d:\Support\support\src\main\java\com\support\Entitis\MachineFamily.java", "Java", 0, 0, 0, 25, 0, 0, 7, 32
"d:\Support\support\src\main\java\com\support\Entitis\Resever.java", "Java", 0, 0, 0, 11, 0, 0, 6, 17
"d:\Support\support\src\main\java\com\support\Entitis\Ticket.java", "Java", 0, 0, 0, 49, 0, 0, 12, 61
"d:\Support\support\src\main\java\com\support\Entitis\User.java", "Java", 0, 0, 0, 21, 0, 0, 7, 28
"d:\Support\support\src\main\java\com\support\Enums\Level.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\Enums\Status.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\Repositories\BreakdownRepositorie.java", "Java", 0, 0, 0, 7, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\MachineFamilyRepositorie.java", "Java", 0, 0, 0, 7, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Repositories\MachineRepositorie.java", "Java", 0, 0, 0, 7, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\ReseverRepository.java", "Java", 0, 0, 0, 7, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Repositories\TicketRepositrie.java", "Java", 0, 0, 0, 18, 0, 0, 6, 24
"d:\Support\support\src\main\java\com\support\Repositories\UserRepositorie.java", "Java", 0, 0, 0, 7, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Services\BreakDownService.java", "Java", 0, 0, 0, 23, 0, 0, 8, 31
"d:\Support\support\src\main\java\com\support\Services\MachineService.java", "Java", 0, 0, 0, 25, 0, 0, 6, 31
"d:\Support\support\src\main\java\com\support\Services\TicketService.java", "Java", 0, 0, 0, 49, 0, 0, 24, 73
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\BreakdownInterface.java", "Java", 0, 0, 0, 8, 0, 0, 3, 11
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineFamilyInterface.java", "Java", 0, 0, 0, 6, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineInterface.java", "Java", 0, 0, 0, 6, 0, 0, 2, 8
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\ReseverInterface.java", "Java", 0, 0, 0, 6, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\TicketInterface.java", "Java", 0, 0, 0, 18, 0, 0, 8, 26
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\UserInterface.java", "Java", 0, 0, 0, 7, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\SupportApplication.java", "Java", 0, 0, 0, 13, 0, 0, 6, 19
"d:\Support\support\src\main\java\com\support\Utils\Utils.java", "Java", 0, 0, 0, 9, 0, 0, 3, 12
"d:\Support\support\src\main\resources\application.properties", "Properties", 5, 0, 0, 0, 0, 0, 1, 6
"d:\Support\support\src\main\resources\templates\CloseSupport.html", "HTML", 0, 0, 0, 0, 37, 0, 5, 42
"d:\Support\support\src\main\resources\templates\Index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 13
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 0, 0, 0, 0, 81, 0, 19, 100
"d:\Support\support\src\main\resources\templates\OpenSupport.html", "HTML", 0, 0, 0, 0, 52, 0, 12, 64
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 0, 0, 39, 0, 12, 10, 61
"Total", "-", 7, 84, 102, 502, 183, 64, 251, 1193
