"filename", "language", "HTML", "Java", "CSS", "Properties", "comment", "blank", "total"
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 16, 0, 0, 0, 13, 29
"d:\Support\support\src\main\java\com\support\Entitis\Resever.java", "Java", 0, 4, 0, 0, 0, 1, 5
"d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java", "Java", 0, 2, 0, 0, 6, -1, 7
"d:\Support\support\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 1, 1
"d:\Support\support\src\main\resources\static\styles.css", "CSS", 0, 0, 81, 0, 0, 13, 94
"d:\Support\support\src\main\resources\templates\CloseSupport.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"d:\Support\support\src\main\resources\templates\Index.html", "HTML", 2, 0, 0, 0, 0, 4, 6
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 20, 0, 0, 0, 0, 21, 41
"d:\Support\support\src\main\resources\templates\OpenSupport.html", "HTML", 22, 0, 0, 0, 0, 16, 38
"d:\Support\support\src\main\resources\templates\__error.html", "HTML", 17, 0, 0, 0, 0, 3, 20
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 5, 0, 0, 0, 2, 7
"Total", "-", 62, 27, 81, 0, 6, 73, 249
