"filename", "language", "XML", "Properties", "Java", "Batch", "HTML", "CSS", "comment", "blank", "total"
"d:\Support\support\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\Support\support\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 0, 51, 36, 189
"d:\Support\support\pom.xml", "XML", 88, 0, 0, 0, 0, 0, 0, 5, 93
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 0, 102, 0, 0, 0, 1, 38, 141
"d:\Support\support\src\main\java\com\support\Entitis\Admin.java", "Java", 0, 0, 20, 0, 0, 0, 0, 8, 28
"d:\Support\support\src\main\java\com\support\Entitis\Breakdown.java", "Java", 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Support\support\src\main\java\com\support\Entitis\Machine.java", "Java", 0, 0, 23, 0, 0, 0, 0, 5, 28
"d:\Support\support\src\main\java\com\support\Entitis\MachineFamily.java", "Java", 0, 0, 25, 0, 0, 0, 0, 7, 32
"d:\Support\support\src\main\java\com\support\Entitis\Resever.java", "Java", 0, 0, 19, 0, 0, 0, 0, 8, 27
"d:\Support\support\src\main\java\com\support\Entitis\Ticket.java", "Java", 0, 0, 49, 0, 0, 0, 0, 12, 61
"d:\Support\support\src\main\java\com\support\Entitis\User.java", "Java", 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\Support\support\src\main\java\com\support\Enums\Level.java", "Java", 0, 0, 4, 0, 0, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\Enums\Status.java", "Java", 0, 0, 4, 0, 0, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\Repositories\BreakdownRepositorie.java", "Java", 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\MachineFamilyRepositorie.java", "Java", 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Repositories\MachineRepositorie.java", "Java", 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\ReseverRepository.java", "Java", 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Repositories\TicketRepositrie.java", "Java", 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Support\support\src\main\java\com\support\Repositories\UserRepositorie.java", "Java", 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Support\support\src\main\java\com\support\Services\BreakDownService.java", "Java", 0, 0, 23, 0, 0, 0, 0, 8, 31
"d:\Support\support\src\main\java\com\support\Services\MachineService.java", "Java", 0, 0, 23, 0, 0, 0, 0, 7, 30
"d:\Support\support\src\main\java\com\support\Services\TicketService.java", "Java", 0, 0, 49, 0, 0, 0, 0, 24, 73
"d:\Support\support\src\main\java\com\support\Services\UserService.java", "Java", 0, 0, 24, 0, 0, 0, 3, 11, 38
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\BreakdownInterface.java", "Java", 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineFamilyInterface.java", "Java", 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\MachineInterface.java", "Java", 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\ReseverInterface.java", "Java", 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\TicketInterface.java", "Java", 0, 0, 18, 0, 0, 0, 0, 8, 26
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\UserInterface.java", "Java", 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Support\support\src\main\java\com\support\SupportApplication.java", "Java", 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\Support\support\src\main\java\com\support\Utils\Utils.java", "Java", 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java", "Java", 0, 0, 32, 0, 0, 0, 8, 5, 45
"d:\Support\support\src\main\java\com\support\security\SupportUserDetails.java", "Java", 0, 0, 43, 0, 0, 0, 4, 18, 65
"d:\Support\support\src\main\java\com\support\security\UserDetailsServiceImp.java", "Java", 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\Support\support\src\main\resources\application.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Support\support\src\main\resources\static\styles.css", "CSS", 0, 0, 0, 0, 0, 81, 0, 13, 94
"d:\Support\support\src\main\resources\templates\CloseSupport.html", "HTML", 0, 0, 0, 0, 62, 0, 0, 17, 79
"d:\Support\support\src\main\resources\templates\Index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 4, 19
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 0, 0, 0, 0, 103, 0, 0, 40, 143
"d:\Support\support\src\main\resources\templates\OpenSupport.html", "HTML", 0, 0, 0, 0, 76, 0, 0, 27, 103
"d:\Support\support\src\main\resources\templates\__error.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 0, 49, 0, 0, 0, 0, 11, 60
"Total", "-", 88, 7, 678, 102, 273, 81, 67, 381, 1677
