"filename", "language", "XML", "Java", "HTML", "comment", "blank", "total"
"d:\Support\support\pom.xml", "XML", 12, 0, 0, 1, 0, 13
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 15, 0, 0, 7, 22
"d:\Support\support\src\main\java\com\support\Entitis\Admin.java", "Java", 0, -1, 0, 0, 1, 0
"d:\Support\support\src\main\java\com\support\Entitis\Machine.java", "Java", 0, 3, 0, 0, 1, 4
"d:\Support\support\src\main\java\com\support\Repositories\TicketRepositrie.java", "Java", 0, 2, 0, 0, 0, 2
"d:\Support\support\src\main\java\com\support\Services\TicketService.java", "Java", 0, 4, 0, 0, 1, 5
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\TicketInterface.java", "Java", 0, 1, 0, 0, 1, 2
"d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java", "Java", 0, -4, 0, 7, 0, 3
"d:\Support\support\src\main\java\com\support\security\UserDetailsServiceImp.java", "Java", 0, -1, 0, 0, 1, 0
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 0, 0, 8, 0, 6, 14
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 9, 0, 0, 6, 15
"Total", "-", 12, 28, 8, 8, 24, 80
