"filename", "language", "XML", "Java", "Properties", "Batch", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Support\support\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Support\support\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 0, 0, 0, 51, 36, 189
"d:\Support\support\pom.xml", "XML", 102, 0, 0, 0, 0, 0, 0, 0, 1, 4, 107
"d:\Support\support\src\main\java\com\support\Contollers\AdminController.java", "Java", 0, 90, 0, 0, 0, 0, 0, 0, 1, 41, 132
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 130, 0, 0, 0, 0, 0, 0, 1, 58, 189
"d:\Support\support\src\main\java\com\support\Entitis\Admin.java", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 0, 10, 29
"d:\Support\support\src\main\java\com\support\Entitis\Breakdown.java", "Java", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Support\support\src\main\java\com\support\Entitis\Machine.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 38
"d:\Support\support\src\main\java\com\support\Entitis\MachineFamily.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Support\support\src\main\java\com\support\Entitis\Resever.java", "Java", 0, 22, 0, 0, 0, 0, 0, 0, 0, 12, 34
"d:\Support\support\src\main\java\com\support\Entitis\Ticket.java", "Java", 0, 51, 0, 0, 0, 0, 0, 0, 0, 14, 65
"d:\Support\support\src\main\java\com\support\Entitis\User.java", "Java", 0, 35, 0, 0, 0, 0, 0, 0, 1, 4, 40
"d:\Support\support\src\main\java\com\support\Enums\Level.java", "Java", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\Enums\Status.java", "Java", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorDate.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorLevel.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketComparatorStatus.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketProxyrPage.java", "Java", 0, 20, 0, 0, 0, 0, 0, 0, 0, 12, 32
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketRepositrieProxyFilter.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 40
"d:\Support\support\src\main\java\com\support\ReposetryPorxy\TicketRepositrieProxySort.java", "Java", 0, 26, 0, 0, 0, 0, 0, 0, 0, 18, 44
"d:\Support\support\src\main\java\com\support\Repositories\BreakdownRepositorie.java", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\MachineFamilyRepositorie.java", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Support\support\src\main\java\com\support\Repositories\MachineRepositorie.java", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Support\support\src\main\java\com\support\Repositories\ReseverRepository.java", "Java", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Support\support\src\main\java\com\support\Repositories\TicketRepositrie.java", "Java", 0, 24, 0, 0, 0, 0, 0, 0, 0, 15, 39
"d:\Support\support\src\main\java\com\support\Repositories\UserRepositorie.java", "Java", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Support\support\src\main\java\com\support\Services\BreakDownService.java", "Java", 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\Support\support\src\main\java\com\support\Services\MachineFamilyService.java", "Java", 0, 25, 0, 0, 0, 0, 0, 0, 0, 9, 34
"d:\Support\support\src\main\java\com\support\Services\MachineService.java", "Java", 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 32
"d:\Support\support\src\main\java\com\support\Services\TicketService.java", "Java", 0, 67, 0, 0, 0, 0, 0, 0, 0, 34, 101
"d:\Support\support\src\main\java\com\support\Services\UserService.java", "Java", 0, 30, 0, 0, 0, 0, 0, 0, 0, 14, 44
