Date : 2022-08-21 20:03:34
Directory : d:\Support\support
Total : 168 files,  14953 codes, 1321 comments, 3023 blanks, all 19297 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         13 |      7,513 |         31 |        839 |      8,383 |
| SCSS       |         90 |      5,416 |      1,137 |      1,396 |      7,949 |
| Java       |         42 |      1,107 |         21 |        464 |      1,592 |
| HTML       |         12 |        684 |          1 |        259 |        944 |
| Batch      |          1 |        102 |         51 |         36 |        189 |
| XML        |          1 |         93 |          0 |         11 |        104 |
| JavaScript |          7 |         31 |         80 |         15 |        126 |
| Properties |          2 |          7 |          0 |          3 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |        168 |     14,953 |      1,321 |      3,023 |     19,297 |
| .mvn                                                                                             |          1 |          2 |          0 |          1 |          3 |
| .mvn\wrapper                                                                                     |          1 |          2 |          0 |          1 |          3 |
| src                                                                                              |        165 |     14,756 |      1,270 |      2,975 |     19,001 |
| src\main                                                                                         |        164 |     14,693 |      1,270 |      2,954 |     18,917 |
| src\main\java                                                                                    |         41 |      1,044 |         21 |        443 |      1,508 |
| src\main\java\com                                                                                |         41 |      1,044 |         21 |        443 |      1,508 |
| src\main\java\com\support                                                                        |         41 |      1,044 |         21 |        443 |      1,508 |
| src\main\java\com\support\Contollers                                                             |          2 |        252 |          2 |        106 |        360 |
| src\main\java\com\support\Entitis                                                                |          7 |        206 |          1 |         60 |        267 |
| src\main\java\com\support\Enums                                                                  |          2 |          8 |          0 |          4 |         12 |
| src\main\java\com\support\ReposetryPorxy                                                         |          6 |        102 |          0 |         61 |        163 |
| src\main\java\com\support\Repositories                                                           |          6 |         62 |          0 |         33 |         95 |
| src\main\java\com\support\Services                                                               |          6 |        213 |          3 |        101 |        317 |
| src\main\java\com\support\Servicesinterfaces                                                     |          6 |         65 |          0 |         26 |         91 |
| src\main\java\com\support\Utils                                                                  |          2 |         29 |          0 |         12 |         41 |
| src\main\java\com\support\security                                                               |          3 |         94 |         15 |         38 |        147 |
| src\main\resources                                                                               |        123 |     13,649 |      1,249 |      2,511 |     17,409 |
| src\main\resources\static                                                                        |        110 |     12,960 |      1,248 |      2,250 |     16,458 |
| src\main\resources\static\Time                                                                   |        106 |     12,850 |      1,213 |      2,233 |     16,296 |
